万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
688001.SH,688001,20220812,91322000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91400000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91400000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91511000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91611000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91714000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91814000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,91914000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92014000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92114000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92214000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92314000,0,0,0,0,0,,,0,0,0,0,0,375200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92357000,0,0,0,0,0,,,0,0,0,0,0,375200,375800,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,375800,0,0,0,0,0,0,0,0,0,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92414000,0,0,0,0,0,,,0,0,0,0,0,375200,375800,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,375800,0,0,0,0,0,0,0,0,0,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92424000,0,0,0,0,0,,,0,0,0,0,0,375200,375800,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,375800,0,0,0,0,0,0,0,0,0,586,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92448000,0,0,0,0,0,,,0,0,0,0,0,375200,375400,0,0,0,0,0,0,0,0,0,1200,586,0,0,0,0,0,0,0,0,375400,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92451000,0,0,0,0,0,,,0,0,0,0,0,375200,375400,0,0,0,0,0,0,0,0,0,1200,786,0,0,0,0,0,0,0,0,375400,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92457000,0,0,0,0,0,,,0,0,0,0,0,375200,375400,0,0,0,0,0,0,0,0,0,1200,986,0,0,0,0,0,0,0,0,375400,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92500000,0,0,0,0,0,,,0,0,0,0,0,375200,374500,0,0,0,0,0,0,0,0,0,1200,300,0,0,0,0,0,0,0,0,374500,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688001.SH,688001,20220812,92500000,374500,1200,44940,5,0,,,1200,44940,374500,374500,0,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92503000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92526000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92626000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92726000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92826000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,92926000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,379000,379300,379900,380000,300,286,13888,1200,2000,2000,200,200,1000,444,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,254352,32852,0,0,0,0,0
688001.SH,688001,20220812,93000000,374500,0,0,5,0,,,1200,44940,374500,374500,374500,375200,374500,374600,375000,375400,378200,378600,378800,379000,379300,379900,300,286,13888,1200,2000,2000,10000,200,200,1000,374400,374000,373000,371800,371000,370800,369300,368600,368000,367600,218,260,200,200,600,3000,200,200,2000,200,0,0,264352,32852,0,0,0,0,0
688001.SH,688001,20220812,93003000,372000,2435,90894,14,0,,,3635,135834,374500,372000,374500,375200,373900,374300,374400,374500,374600,374900,375000,375400,377700,378200,200,224,2129,412,286,600,19645,1200,100,2000,372000,371800,371100,371000,370800,370500,369300,368600,368000,367600,43,200,200,600,3000,700,200,200,2000,200,0,0,279024,42240,0,0,0,0,0
688001.SH,688001,20220812,93006000,373800,600,22412,16,0,,,4235,158246,374500,372000,374500,375200,373900,374000,374300,374400,374500,374600,374900,375000,375200,375400,400,200,2301,11277,412,286,600,19645,2000,1200,373800,372000,371800,371100,371000,370800,370500,370400,370100,369300,1093,743,200,200,600,3000,700,2187,800,200,0,0,326116,58420,0,0,0,0,0
