万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,91500050,0,223,A,B,340300,210
688001.SH,688001,20220812,91500070,0,316,A,S,412800,800
688001.SH,688001,20220812,91500200,0,955,A,S,450200,200
688001.SH,688001,20220812,91500510,0,5526,A,S,390000,500
688001.SH,688001,20220812,91500510,0,5550,A,S,425000,500
688001.SH,688001,20220812,91500510,0,5850,A,S,385000,500
688001.SH,688001,20220812,91500640,0,6717,A,S,429800,4500
688001.SH,688001,20220812,91500640,0,7071,A,S,380800,200
688001.SH,688001,20220812,91500640,0,7140,A,S,400000,300
688001.SH,688001,20220812,91500640,0,7311,A,S,450200,500
688001.SH,688001,20220812,91500640,0,7312,A,S,439500,200
688001.SH,688001,20220812,91500640,0,7313,A,S,429500,200
688001.SH,688001,20220812,91500640,0,7314,A,S,409500,200
688001.SH,688001,20220812,91500640,0,8256,A,B,355000,410
688001.SH,688001,20220812,91500740,0,8430,A,S,415200,849
688001.SH,688001,20220812,91500740,0,10229,A,B,352000,500
688001.SH,688001,20220812,91500870,0,12125,A,S,409900,610
688001.SH,688001,20220812,91500870,0,12128,A,S,429900,582
688001.SH,688001,20220812,91500870,0,12138,A,S,449900,924
688001.SH,688001,20220812,91500870,0,12177,A,S,385000,500
688001.SH,688001,20220812,91500980,0,12668,A,B,360700,500
688001.SH,688001,20220812,91500980,0,13191,A,B,367600,200
688001.SH,688001,20220812,91500980,0,13193,A,B,363500,200
688001.SH,688001,20220812,91500980,0,13409,A,S,400000,500
688001.SH,688001,20220812,91500980,0,13412,A,S,410000,500
688001.SH,688001,20220812,91500980,0,13417,A,B,357300,200
688001.SH,688001,20220812,91500980,0,13430,A,B,345500,200
688001.SH,688001,20220812,91500980,0,13433,A,S,383500,100
688001.SH,688001,20220812,91500980,0,13434,A,S,384500,100
688001.SH,688001,20220812,91500980,0,13436,A,S,388500,100
688001.SH,688001,20220812,91500980,0,13543,A,S,420000,500
688001.SH,688001,20220812,91500980,0,13552,A,S,440000,500
688001.SH,688001,20220812,91500980,0,13610,A,S,391000,100
688001.SH,688001,20220812,91500980,0,13613,A,S,392500,100
688001.SH,688001,20220812,91500980,0,13622,A,S,398500,100
688001.SH,688001,20220812,91500980,0,13626,A,S,400500,100
688001.SH,688001,20220812,91500980,0,13627,A,S,402000,100
688001.SH,688001,20220812,91500980,0,13628,A,S,404700,100
688001.SH,688001,20220812,91500980,0,13629,A,S,407800,100
688001.SH,688001,20220812,91500980,0,13649,A,S,413800,581
688001.SH,688001,20220812,91500980,0,13666,A,S,445000,500
688001.SH,688001,20220812,91501100,0,14992,A,S,382600,600
688001.SH,688001,20220812,91501100,0,15365,A,B,364200,371
688001.SH,688001,20220812,91501240,0,16373,A,S,410800,200
