万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
688001.SH,688001,20220812,92500260,20192,,,S,374500,200,139563,123199
688001.SH,688001,20220812,92500260,20193,,,S,374500,200,142438,123199
688001.SH,688001,20220812,92500260,20194,,,S,374500,300,129643,123199
688001.SH,688001,20220812,92500260,20195,,,S,374500,100,144365,123199
688001.SH,688001,20220812,92500260,20196,,,S,374500,400,144365,35330
688001.SH,688001,20220812,93000350,22308,,,B,374500,200,144365,147832
688001.SH,688001,20220812,93001120,25396,,,S,374400,218,158235,137124
688001.SH,688001,20220812,93001590,26729,,,S,374000,260,162768,137141
688001.SH,688001,20220812,93001590,26730,,,S,373000,40,162768,70574
688001.SH,688001,20220812,93002170,28708,,,B,374300,126,158235,170001
688001.SH,688001,20220812,93002170,28709,,,B,374300,74,164665,170001
688001.SH,688001,20220812,93002170,28904,,,B,374300,400,164665,170930
688001.SH,688001,20220812,93002870,31694,,,S,373000,160,179544,70574
688001.SH,688001,20220812,93002870,31695,,,S,372000,957,179544,152076
688001.SH,688001,20220812,93004120,36458,,,B,373000,200,189705,193872
688001.SH,688001,20220812,93004120,36459,,,B,373800,400,186466,193872
688001.SH,688001,20220812,93006330,41715,,,S,373800,200,207681,193872
688001.SH,688001,20220812,93006330,41734,,,S,373800,893,207704,193872
688001.SH,688001,20220812,93006620,42496,,,B,373500,200,209213,209598
688001.SH,688001,20220812,93006620,42497,,,B,373800,45,207704,209598
688001.SH,688001,20220812,93008070,44871,,,B,373000,200,213061,217047
688001.SH,688001,20220812,93008580,46437,,,B,373000,300,213061,219172
688001.SH,688001,20220812,93008580,46438,,,B,373800,200,210209,219172
688001.SH,688001,20220812,93009840,49117,,,B,373000,200,224730,225856
688001.SH,688001,20220812,93010910,51247,,,B,373800,200,210209,230848
688001.SH,688001,20220812,93013690,55388,,,S,372100,200,241144,223161
688001.SH,688001,20220812,93013690,55407,,,B,373800,200,211135,241195
