MDDate,MDTime,MDValidType,OrderIndex,OrderType,OrderPrice,OrderQty,OrderBSFlag,ApplSeqNum,OrderNO
20220704,91500510,None,234089,2,143,240,2,268232,3430
20220704,91500830,None,234090,2,109.13,400,1,268233,8315
20220704,91500830,None,234091,2,108.66,400,1,268234,8316
20220704,91500950,None,234092,2,108.38,1107,1,268235,10827
20220704,91501970,None,234093,2,126.5,200,2,268236,26666
20220704,91501970,None,234094,2,145.8,280,2,268237,27372
20220704,91502090,None,234095,2,142.8,200,2,268238,27500
20220704,91502090,None,234096,2,130,400,2,268239,28129
20220704,91502090,None,234097,2,116.36,200,1,268240,29270
20220704,91502620,None,234098,2,144.44,200,2,268241,35812
20220704,91502890,None,234099,2,126.2,4298,2,268242,39401
20220704,91503010,None,234100,2,112.02,400,1,268243,42993
20220704,91503140,None,234101,2,100.03,600,1,268244,44073
20220704,91503140,None,234102,2,141.45,215,2,268245,44914
20220704,91503580,None,234103,2,112.98,200,1,268246,51312
20220704,91503720,None,234104,2,112.02,2000,1,268247,51709
20220704,91503720,None,234105,2,100.03,3000,1,268248,51710
20220704,91503850,None,234106,2,145.7,500,2,268249,54774
20220704,91503850,None,234107,2,133,420,2,268250,54775
20220704,91503850,None,234108,2,145,420,2,268251,54776
20220704,91503980,None,234109,2,143.32,2200,2,268252,56467
20220704,91504110,None,234110,2,145.8,1700,1,268253,58165
20220704,91504110,None,234111,2,119,200,1,268254,58614
20220704,91504230,None,234112,2,110,200,1,268255,60752
20220704,91504380,None,234113,2,120,200,1,268256,61622
20220704,91504930,None,234114,2,120,200,1,268257,70558
20220704,91504930,None,234115,2,118,200,1,268258,70559
20220704,91505070,None,234116,2,115.01,200,1,268259,71427
20220704,91505070,None,234117,2,124.99,260,2,268260,71437
20220704,91505070,None,234118,2,129.99,200,2,268261,71438
20220704,91505070,None,234119,2,134.99,200,2,268262,71439
20220704,91505070,None,234120,2,139.99,200,2,268263,71440
20220704,91505210,None,234121,2,128.37,700,2,268264,73565
20220704,91505470,None,234122,2,145.5,200,2,268265,77462
20220704,91505710,None,234123,2,113.75,200,1,268266,81661
20220704,91505860,None,234124,2,145,243,2,268267,82827
20220704,91506100,None,234125,2,124.5,200,2,268268,85564
20220704,91506100,None,234126,2,126,300,2,268269,85565
20220704,91506240,None,234127,2,128.49,280,2,268270,87193
20220704,91506240,None,234128,2,117,900,1,268271,87650
20220704,91506240,None,234129,2,122.5,296,2,268272,88468
20220704,91506430,None,234130,2,111.98,200,1,268273,90835
20220704,91506580,None,234131,2,112.02,400,1,268274,91260
